,url,type,2nd_type,3rd_type,active
0,100percentfedup.com,bias,,,
1,16wmpo.com,fake,,,
2,21stcenturywire.com,conspiracy,,,
3,24newsflash.com,fake,,,
4,24wpn.com,fake, ,,
5,365usanews.com,bias,conspiracy,,
6,4threvolutionarywar.wordpress.com,bias,conspiracy,,
7,70news.wordpress.com,fake,,,
8,82.221.129.208,conspiracy,fake,,
9,aanirfan.blogspot.co.uk,unreliable,,,
10,abcnews.com.co,fake,,,
11,abcnewsgo.co,fake,,,
12,abeldanger.net,conspiracy,,,
13,abovetopsecret.com,conspiracy,rumor,,
14,abriluno.com,satire,fake,,
15,aceflashman.wordpress.com,satire,,,
16,actforamerica.org/news,hate,,,
17,Acting-Man.com,unreliable,conspiracy,,
18,activistpost.com,conspiracy,,,
19,actualidadpanamericana.com,satire,,,
20,addictinginfo.org,clickbait,unreliable,,
21,adflegal.org/media,hate,,,
22,adobochronicles.com,satire,,,
23,advocate.com,political,reliable,,
24,aheadoftheherd.com,bias,,,
25,ahtribune.com,unreliable,bias,,
26,allnewspipeline.com,unreliable,conspiracy,,
27,Alt-Market.com,conspiracy,bias, ,
28,alternativemediasyndicate.com,fake,,,
29,alternet.org,political,reliable,,
30,americablog.com,bias,clickbait,,
31,americanborderpatrol.com,hate,,,
32,americanfreepress.net,conspiracy,bias,,
33,AmericanKabuki.blogspot.com,junksci,,,
34,americanlookout.com,bias,clickbait,,
35,americannews.com,fake,,,
36,americannewsx.com,political,bias,satire,
37,americanoverlook.com,fake,,,
38,americanpatriotdaily.com,bias,clickbait,bias,
39,americanpoliticnews.co,fake,,,
40,americanpresident.co,fake,,,
41,americanprogress.org,political,reliable,,
42,americanreviewer.com,conspiracy,,,
43,americanthinker.com,bias,,,
44,americantoday.news,rumor,bias,,
45,americasfreedomfighters.com,bias,clickbait,,
46,AmmoLand.com,bias,,,
47,amplifyingglass.com,clickbait,satire,,
48,Amposts.com,fake,,,
49,amren.com,hate,conspiracy,,
50,amren.com,hate,,,
51,amtvmedia.com,rumor,unreliable,,
52,amusmentic.com,clickbait,rumor,,
53,ancient-code.com,junksci,unreliable,,
54,anews24.org/,fake,,,
55,angrypatriotmovement.com,conspiracy,fake,,
56,anonews.co,unreliable,,,
57,anonhq.com,unreliable,,,
58,anonjekloy.tk,fake,,,
59,anonnews.co,unreliable,,,
60,anotherdayintheempire.com,bias,conspiracy,,
61,antiwar.com,bias,unreliable,,
62,antoniusaquinas.wp.com,bias,conspiracy,,
63,aryannationswordwide1488.org,hate,,,
64,asia-pacificresearch.com,unreliable,satire,,
65,assassinationscience.com,conspiracy,junksci,,
66,associatedmediacoverage.com,satire,,,
67,attn.com,political,clickbait,,
68,aurora-news.us,fake,,,
69,AutomaticEarth.com,unreliable,,,
70,automotostar.com,clickbait,,,
71,awarenessact.com,conspiracy,junksci,,
72,awazetribune.com,satire,,,
73,awdnews.com,conspiracy,,,
74,awm.com,unreliable,bias,clickbait,
75,BadSquad.com,unknown,,,
76,baptistnews.com,political,,,
77,barenakedislam.com,hate,,,
78,barnesreview.org,hate,,,
79,BB4SP.com,conspiracy,bias,fake,
80,beehivebugle.com,satire,,,
81,beforeitsnews.com,fake,conspiracy,rumor,
82,betootaadvocate.com,satire,,,
83,bients.com,clickbait,,,
84,bigamericannews.com,satire,fake,,
85,bigbluedimension.com,rumor,bias,,
86,bigbluevision.com,hate,,,
87,bigbluevision.org,clickbait,bias,,
88,bighairynews.com,fake,conspiracy,,
89,bignuggetnews.com,bias,rumor,,
90,bigpzone.com,unknown,,,
91,bipartisanreport.com,clickbait,bias,,
92,blackagendareport.com,unreliable,,,
93,blackgenocide.org,conspiracy,bias,hate,
94,blackinusrancenews.com,fake,unreliable,,
95,blacklistednews.com,clickbait,unreliable,,
96,bluenationreview.com,clickbait,unreliable,,
97,Boilingfrogspost.com,unreliable,,,
98,borowitzreport.com,satire,,,
99,bostonleader.com,fake,,,
100,bostontribune.com,satire,fake,,
101,breaking911.com,clickbait,unreliable,,
102,breakpoint.org,unreliable,,,
103,breitbart.com,political,unreliable,bias,
104,BrotherJohnF.com,bias,conspiracy,,
105,BullionBullsCanada.com,conspiracy,,,
106,burrardstreetjournal.com,satire,,,
107,buzzfeedusa.com,fake,rumor,,
108,bvanews.com,unreliable,bias,fake,
109,callthecops.net,satire,,,
110,canadafreepress.com,conspiracy,bias, ,
111,cannasos.com,fake,unreliable,,
112,cap-news.com,fake, ,,
113,cato.org/blog,political,reliable,,
114,cbsnews.com.co,fake,,,
115,celebtricity.com,satire,,,
116,centerforsecuritypolicy.org,bias,conspiracy,,
117,centerforsecuritypolicy.org/#articles,hate,,,
118,channel-7-news.com,fake,,,
119,channel18news.com,fake,,,
120,charismanews.com,bias,,,
121,chaser.com.au,satire,,,
122,checkoutthehealthyworld.com,junksci,clickbait,,
123,chicksontheright.com,clickbait,bias,,
124,christianfightback.com,hate,bias,,
125,christianpost.com,reliable,political,,
126,christiantimesnewspaper.com,rumor,bias,fake,
127,christwire.org,satire,,,
128,chronicle.su,satire, ,,
129,chroniclesmagazine.org,political,,,
130,citizensunited.org,bias,,,
131,city-journal.org,political,,,
132,cityworldnews.com,fake,,,
133,civictribune.com,fake,,,
134,clashdaily.com,fake,conspiracy,bias,
135,clickhole.com,satire,,,
136,cnnews3.com,fake,,,
137,cnnnext.com,unreliable,,,
138,CNSNews.com,unreliable,bias,,
139,coasttocoastam.com,unreliable,,,
140,coed.com,fake,unreliable,,
141,collective-evolution.com,junksci,,,
142,collectivelyconscious.net,junksci,conspiracy,,
143,ComingDepression.com,unknown,,,
144,commentarymagazine.com,political,,,
145,commondreams.org,political,clickbait,,
146,concisepolitics.com,conspiracy,hate,,
147,consciouslifenews.com,junksci, ,,
148,conservapedia.com,bias, , ,
149,conservativebyte.com,fake,bias,,
150,conservativedailypost.com,fake,unreliable,,
151,conservativefighters.com,fake,,,
152,conservativefiringline.com,bias,conspiracy,clickbait,
153,conservativeflashnews.com,fake,,,
154,conservativefrontline.com,unknown,,,
155,conservativeheadlines.com,unknown,,,
156,conservativehq.com,bias,,,
157,conservativeinfidel.com,fake,conspiracy,,
158,conservativeoutfitters.com,unreliable,clickbait,,
159,conservativepapers.com,bias,,,
160,conservativerefocus.com,conspiracy,,,
161,conservativereview.com,political,,,
162,conservativespirit.com,bias,fake,,
163,conservativestate.com,bias,,,
164,conservativetribune.com,bias,conspiracy,unreliable,
165,consortiumnews.com,reliable,,,
166,conspiracyplanet.com,conspiracy,,,
167,conspiracywire.com,conspiracy,,,
168,corbettreport.com,conspiracy,bias,,
169,corbettreport.com,conspiracy,,,
170,countdowntozerotime.com,conspiracy, ,,
171,countercurrentnews.com,bias,,,
172,countercurrents.org,political,unreliable,,
173,counterinformation.wordpress.com,political,,,
174,counterjihad.com,bias,,,
175,counterpsyops.com,conspiracy,,,
176,counterpunch.com,political,,,
177,counterpunch.org,political,,,
178,cowgernation.com,bias,conspiracy,,
179,creambmp.com,satire,fake,,
180,creativitymovement.net/category/news/,hate,,,
181,cryptogon.com,conspiracy,unreliable,,
182,crystalair.com,satire,,,
183,dailybuzzlive.com,fake,,,
184,dailycaller.com,political,clickbait,bias,
185,dailycurrant.com,satire,,,
